5 | 28  | 13,26,7,8                 | 4  | 1  | 0    | 2020-07-30 | 2000.0
2 | 33  | 11,12,2,5                 | 4  | 2  | 7    | 2020-07-29 | 3400.0
3 | 32  | 1,3,4,2                   | 4  | 3  | 7    | 2020-07-20 | 1200.0
6 | 30  | 32,33                     | 4  | 4  | 7    | 2020-07-28 | 1000.0
4 | 22  | 2,34,5                    | 4  | 0  | 7    | 2020-08-12 | 800.0
7 | 22  | 26,29                     | 4  | 6  | 7    | 2020-08-20 | 3200.0
8 | 22  | 26,25                     | 4  | 7  | 7    | 2020-08-20 | 1600.0
9 | 23  | 32,31                     | 4  | 8  | 11   | 2020-08-20 | 440.0
10| 23  | 20,17,18,23,32,31,33      | 4  | 9  | 11   | 2020-08-20 | 5470.0
11| 26  | 32,26,25                  | 4  | 10 | 11   | 2020-08-21 | 1820.0
12| 23  | 32,26,29                  | 4  | 11 | 11   | 2020-08-21 | 3420.0
13| 32  | 26,29,32,97               | 4  | 12 | 11   | 2020-08-21 | 6070.0
14| 33  | 26,29                     | 4  | 13 | 11   | 2020-08-21 | 3700.0
15| 22  | 26,29                     | 4  | 14 | 10   | 2020-08-21 | 3200.0
16| 23  | 26,29,82,69,67            | 4  | 15 | 10   | 2020-08-21 | 19300.0
17| 32  | 26,29,73                  | 4  | 16 | 10   | 2020-08-21 | 4100.0
18| 26  | 26,29                     | 4  | 17 | 10   | 2020-08-21 | 3700.0
19| 33  | 26,29,67,68               | 4  | 18 | 10   | 2020-08-21 | 6400.0
20| 30  | 72,73                     | 4  | 19 | 8    | 2020-08-21 | 2450.0
21| 30  | 26,32                     | 4  | 20 | 10   | 2020-08-21 | 1720.0
22| 31  | 26,33,30                  | 4  | 21 | 10   | 2020-08-21 | 3650.0
23| 33  | 26,29,34,30,32            | 4  | 22 | 10   | 2020-08-22 | 7230.0
24| 29  | 26,29,30                  | 4  | 23 | 10   | 2020-08-22 | 1300.0
25| 33  | 26,34                     | 4  | 24 | 10   | 2020-08-22 | 520.0
26| 32  | 26,70                     | 4  | 25 | 11   | 2020-08-22 | 720.0
27| 22  | 23,20,19,24,30,31,32      | 4  | 26 | 11   | 2020-08-24 | 8340.0
28| 22  | 31,30,20                  | 4  | 27 | 11   | 2020-08-24 | 7230.0
29| 22  | 26,30                     | 4  | 28 | 7    | 2020-08-24 | 1610.0
30| 22  | 26,29,25                  | 4  | 29 | 7    | 2020-08-26 | 3800.0
31| 22  | 97,98,99,100,103          | 4  | 31 | 7    | 2020-08-26 | 12615.0
32| 23  | 29,104                    | 4  | 32 | 11   | 2020-08-26 | 4650.0
